,Model,Techniques,MapeMean,R2,R2Score,MSE,MAE
0,ridge,All Feature without CV,39.531941459932916,0.7383946464961059,0.7383946464961059,0.010424598819065276,0.07027721528386782
1,ridge,Randomized Search with CV,39.53720109659675,0.7383945978797541,0.7383946464961059,0.010424600756357294,0.07027688301949984
2,ridge,Cross val with CV,39.43458528690536,0.7353117873102065,0.7353117873102065,0.010547446344156892,0.07041183635057688
3,sgd,All Feature without CV,61.5818886321353,0.10180008203523305,0.10180008203523305,0.035791980854706244,0.14828126569874006
4,sgd,Randomized Search with CV,39.12639588792803,0.7367991090485609,0.10180008203523305,0.010488178702155106,0.07092673315869467
5,sgd,Cross val with CV,39.58445050008659,0.7104521046659006,0.7104521046659006,0.011538069108045827,0.07512116535761812
6,mlp-nn,All Feature without CV,25.96185638047775,0.8477791831429848,0.8477791831429848,0.0060657816301957716,0.05140360754337172
7,mlp-nn,Randomized Search with CV,29.678762132663444,0.7773023621218816,0.8477791831429848,0.008874182052235035,0.0608147491089545
8,mlp-nn,Cross val with CV,33.99253209029462,0.7525435378026198,0.7525435378026198,0.00986078575626122,0.06606148205531723
9,gbm,All Feature without CV,25.59647915287094,0.8409092014619426,0.8409092014619426,0.006339540565018664,0.05201461506756691
10,gbm,Randomized Search with CV,25.10024956082796,0.8423267274137007,0.8409092014619426,0.006283054185192068,0.05040214965663277
11,gbm,Cross val with CV,26.100221960220374,0.8300086796599296,0.8300086796599296,0.006773910753481833,0.05245760726516298
12,gbm,RFE with CV,24.382366789831966,0.8456368858571117,0.8456368858571117,0.006151149110093566,0.04954587873593816
13,xgb,All Feature without CV,25.078713931840674,0.8496755398512364,0.8496755398512364,0.00599021453022405,0.050260511119326466
14,xgb,Randomized Search with CV,24.029054831380094,0.872567886239707,0.8496755398512364,0.0050779872996626835,0.04602699422994852
15,xgb,Cross val with CV,26.48306016139736,0.8217678804529127,0.8217678804529127,0.007102294804232324,0.05441429503736796
16,xgb,RFE with CV,23.659691346683832,0.8745870563831248,0.8745870563831248,0.004997526260121111,0.04523361173197672
17,bagging,All Feature without CV,,0.8842202234640668,0.8842202234640668,0.004613658342928995,0.03997512012620458
18,bagging,Randomized Search with CV,26.29759571453448,0.8592475499103931,0.8842202234640668,0.005608783632796794,0.049462976278842594
19,bagging,Cross val with CV,30.096088009827923,0.8044265346664295,0.8044265346664295,0.007793322607698448,0.059419083014569954
20,ada boost,All Feature without CV,37.89789229660908,0.6801118859250586,0.6801118859250586,0.012747083389365784,0.08228112139213582
21,ada boost,Randomized Search with CV,36.110963554250795,0.707643797299985,0.6801118859250586,0.011649976136163509,0.07687898007186561
22,ada boost,Cross val with CV,35.791191891347935,0.7126378937158243,0.7126378937158243,0.01145096854361406,0.07596675153224233
23,DTC,All Feature without CV,,0.7789973332836747,0.7789973332836747,0.008806639877983182,0.052854396827407446
24,DTC,Randomized Search with CV,55.40742231371757,0.2678735798953258,0.7789973332836747,0.029174189718239336,0.13011144464882807
25,DTC,Cross val with CV,55.36740245346356,0.3035078526299839,0.3035078526299839,0.02775421496431123,0.1267922887313635
26,knn,All Feature without CV,,0.7932952989342247,0.7932952989342247,0.00823688641598631,0.05776450326908289
27,random forest,All Feature without CV,31.593489500152412,0.7598753311537876,0.7598753311537876,0.009568624287520191,0.06551210209759482
